Framework;Language;Task;CRF;Seed;Mini batches;Epochs;Patience;Total words;Total errors;Accuracy;OOV-words;OOV-Errors;OOV accuracy;Training time;Evaluation time;Epochs Run;ADJ, ADJ;ADJ, ADP;ADJ, ADV;ADJ, AUX;ADJ, CCONJ;ADJ, DET;ADJ, INTJ;ADJ, NOUN;ADJ, NUM;ADJ, PART;ADJ, PRON;ADJ, PROPN;ADJ, PUNCT;ADJ, SCONJ;ADJ, SYM;ADJ, VERB;ADJ, X;ADP, ADJ;ADP, ADP;ADP, ADV;ADP, AUX;ADP, CCONJ;ADP, DET;ADP, INTJ;ADP, NOUN;ADP, NUM;ADP, PART;ADP, PRON;ADP, PROPN;ADP, PUNCT;ADP, SCONJ;ADP, SYM;ADP, VERB;ADP, X;ADV, ADJ;ADV, ADP;ADV, ADV;ADV, AUX;ADV, CCONJ;ADV, DET;ADV, INTJ;ADV, NOUN;ADV, NUM;ADV, PART;ADV, PRON;ADV, PROPN;ADV, PUNCT;ADV, SCONJ;ADV, SYM;ADV, VERB;ADV, X;AUX, ADJ;AUX, ADP;AUX, ADV;AUX, AUX;AUX, CCONJ;AUX, DET;AUX, INTJ;AUX, NOUN;AUX, NUM;AUX, PART;AUX, PRON;AUX, PROPN;AUX, PUNCT;AUX, SCONJ;AUX, SYM;AUX, VERB;AUX, X;CCONJ, ADJ;CCONJ, ADP;CCONJ, ADV;CCONJ, AUX;CCONJ, CCONJ;CCONJ, DET;CCONJ, INTJ;CCONJ, NOUN;CCONJ, NUM;CCONJ, PART;CCONJ, PRON;CCONJ, PROPN;CCONJ, PUNCT;CCONJ, SCONJ;CCONJ, SYM;CCONJ, VERB;CCONJ, X;DET, ADJ;DET, ADP;DET, ADV;DET, AUX;DET, CCONJ;DET, DET;DET, INTJ;DET, NOUN;DET, NUM;DET, PART;DET, PRON;DET, PROPN;DET, PUNCT;DET, SCONJ;DET, SYM;DET, VERB;DET, X;INTJ, ADJ;INTJ, ADP;INTJ, ADV;INTJ, AUX;INTJ, CCONJ;INTJ, DET;INTJ, INTJ;INTJ, NOUN;INTJ, NUM;INTJ, PART;INTJ, PRON;INTJ, PROPN;INTJ, PUNCT;INTJ, SCONJ;INTJ, SYM;INTJ, VERB;INTJ, X;NOUN, ADJ;NOUN, ADP;NOUN, ADV;NOUN, AUX;NOUN, CCONJ;NOUN, DET;NOUN, INTJ;NOUN, NOUN;NOUN, NUM;NOUN, PART;NOUN, PRON;NOUN, PROPN;NOUN, PUNCT;NOUN, SCONJ;NOUN, SYM;NOUN, VERB;NOUN, X;NUM, ADJ;NUM, ADP;NUM, ADV;NUM, AUX;NUM, CCONJ;NUM, DET;NUM, INTJ;NUM, NOUN;NUM, NUM;NUM, PART;NUM, PRON;NUM, PROPN;NUM, PUNCT;NUM, SCONJ;NUM, SYM;NUM, VERB;NUM, X;PART, ADJ;PART, ADP;PART, ADV;PART, AUX;PART, CCONJ;PART, DET;PART, INTJ;PART, NOUN;PART, NUM;PART, PART;PART, PRON;PART, PROPN;PART, PUNCT;PART, SCONJ;PART, SYM;PART, VERB;PART, X;PRON, ADJ;PRON, ADP;PRON, ADV;PRON, AUX;PRON, CCONJ;PRON, DET;PRON, INTJ;PRON, NOUN;PRON, NUM;PRON, PART;PRON, PRON;PRON, PROPN;PRON, PUNCT;PRON, SCONJ;PRON, SYM;PRON, VERB;PRON, X;PROPN, ADJ;PROPN, ADP;PROPN, ADV;PROPN, AUX;PROPN, CCONJ;PROPN, DET;PROPN, INTJ;PROPN, NOUN;PROPN, NUM;PROPN, PART;PROPN, PRON;PROPN, PROPN;PROPN, PUNCT;PROPN, SCONJ;PROPN, SYM;PROPN, VERB;PROPN, X;PUNCT, ADJ;PUNCT, ADP;PUNCT, ADV;PUNCT, AUX;PUNCT, CCONJ;PUNCT, DET;PUNCT, INTJ;PUNCT, NOUN;PUNCT, NUM;PUNCT, PART;PUNCT, PRON;PUNCT, PROPN;PUNCT, PUNCT;PUNCT, SCONJ;PUNCT, SYM;PUNCT, VERB;PUNCT, X;SCONJ, ADJ;SCONJ, ADP;SCONJ, ADV;SCONJ, AUX;SCONJ, CCONJ;SCONJ, DET;SCONJ, INTJ;SCONJ, NOUN;SCONJ, NUM;SCONJ, PART;SCONJ, PRON;SCONJ, PROPN;SCONJ, PUNCT;SCONJ, SCONJ;SCONJ, SYM;SCONJ, VERB;SCONJ, X;SYM, ADJ;SYM, ADP;SYM, ADV;SYM, AUX;SYM, CCONJ;SYM, DET;SYM, INTJ;SYM, NOUN;SYM, NUM;SYM, PART;SYM, PRON;SYM, PROPN;SYM, PUNCT;SYM, SCONJ;SYM, SYM;SYM, VERB;SYM, X;VERB, ADJ;VERB, ADP;VERB, ADV;VERB, AUX;VERB, CCONJ;VERB, DET;VERB, INTJ;VERB, NOUN;VERB, NUM;VERB, PART;VERB, PRON;VERB, PROPN;VERB, PUNCT;VERB, SCONJ;VERB, SYM;VERB, VERB;VERB, X;X, ADJ;X, ADP;X, ADV;X, AUX;X, CCONJ;X, DET;X, INTJ;X, NOUN;X, NUM;X, PART;X, PRON;X, PROPN;X, PUNCT;X, SCONJ;X, SYM;X, VERB;X, X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dynet;ar;pos;TRUE;5123;1;1;None;19059;1163;93,9%;734;315;57,1%;956,3610837;52,2610368;1;1976;0;0;0;0;0;0;143;0;0;0;0;0;0;0;13;11;1;2871;0;0;0;0;0;6;0;0;13;0;0;0;0;0;1;10;5;51;0;1;1;0;2;0;1;0;0;0;0;0;10;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;74;0;7;7;0;0;1761;3;0;8;0;4;1;0;0;0;0;4;2;13;10;2;0;1;450;0;17;1;1;2;0;0;0;0;3;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;147;6;0;0;1;1;0;5985;2;0;1;0;1;0;0;20;70;39;0;0;0;0;0;0;23;309;0;0;0;0;0;0;1;12;0;2;0;0;41;3;0;2;0;243;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;794;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;11;0;0;27;1;0;1;0;0;0;33;1;2;0;0;0;0;0;1303;9;66;7;0;0;7;21;0;162;12;9;6;0;1;0;0;34;537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dynet;ar;pos;TRUE;5123;1;5;None;19059;798;95,8%;734;227;69,1%;6263,951184;33,60811445;5;2003;0;0;0;0;0;0;107;1;0;0;0;0;0;0;6;26;1;2887;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;4;68;0;1;4;0;1;0;0;0;0;0;0;0;3;1;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;50;0;4;4;1;0;1767;3;0;1;0;8;0;0;0;0;0;7;2;0;2;0;0;2;478;0;6;3;0;2;0;0;0;0;7;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;70;3;0;0;2;6;0;6053;9;0;1;0;1;0;0;10;79;3;0;0;0;0;1;0;3;361;0;0;0;0;0;0;0;16;0;2;0;0;16;3;0;0;0;273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;795;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14;0;0;8;1;0;8;0;4;0;39;5;0;0;0;0;0;0;1296;16;34;1;0;1;3;21;0;109;15;4;6;0;0;0;0;30;638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dynet;ar;pos;TRUE;5123;1;50;3;19059;755;96,0%;734;227;69,1%;27248,70227;34,75883572;16;2042;0;0;0;0;0;0;67;1;0;0;0;0;0;0;10;23;1;2887;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;2;75;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;37;0;4;3;0;0;1780;0;0;0;0;4;0;0;0;0;0;5;1;1;2;1;0;3;483;0;0;2;0;2;0;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;7;0;0;5;7;0;6031;6;0;1;0;0;0;0;14;88;7;0;0;0;1;0;0;7;350;0;0;0;0;0;0;2;17;0;0;0;0;26;0;0;0;0;268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;795;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14;0;0;8;1;0;13;0;2;0;26;1;0;0;0;0;0;0;1306;20;41;0;0;1;3;20;0;115;9;3;6;0;0;0;0;32;632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dynet;ar;pos;TRUE;5123;8;1;None;19059;1767;90,7%;734;378;48,5%;4775,462475;81,7114854;1;1858;1;0;0;0;8;0;246;8;0;0;0;0;0;0;16;6;1;2871;0;0;0;5;0;4;4;0;6;0;0;0;0;0;1;25;6;4;0;1;8;0;12;1;3;1;0;0;0;0;19;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;4;18;0;0;1720;4;0;9;0;24;3;0;0;0;0;12;3;5;10;0;0;5;433;0;26;3;4;3;0;0;0;0;13;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;161;8;0;0;0;1;0;5987;13;0;1;0;2;0;0;24;37;59;0;0;0;0;1;0;41;267;0;0;0;0;0;0;6;10;3;2;0;0;39;7;0;2;0;227;1;0;0;0;0;13;0;0;0;0;0;19;0;0;2;0;10;756;0;0;0;0;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;1;0;0;0;0;17;1;0;0;0;0;0;52;7;8;0;0;0;0;0;1289;3;86;8;1;0;10;17;0;384;23;10;1;0;1;0;0;33;288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dynet;ar;pos;TRUE;5123;8;5;None;19059;885;95,4%;734;230;68,7%;24930,12788;93,20177868;5;1991;0;0;0;0;0;0;108;4;0;0;0;0;0;0;7;33;1;2884;0;0;0;0;0;4;0;0;2;0;0;0;0;0;1;5;3;63;0;2;3;0;0;1;0;0;0;0;0;0;4;1;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;52;0;4;4;0;0;1772;3;0;0;0;4;0;0;0;0;0;7;3;0;5;0;0;4;467;0;6;8;1;2;0;0;0;0;6;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;91;6;0;0;1;5;0;6010;12;0;1;0;1;0;0;9;98;5;0;0;0;0;1;0;2;364;0;0;0;0;0;0;0;12;0;2;0;0;25;3;0;1;1;258;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;794;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14;0;0;6;1;0;7;0;2;0;36;9;0;0;0;0;0;0;1295;21;32;5;0;1;6;20;0;106;17;3;6;0;0;0;0;31;635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dynet;ar;pos;TRUE;5123;8;50;3;19059;744;96,1%;734;208;71,7%;156313,8953;91,69439172;23;2013;0;0;0;0;0;0;92;1;0;0;0;0;0;0;7;30;0;2879;1;0;2;0;0;8;0;0;1;0;0;0;0;0;1;1;1;76;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;33;0;3;2;2;0;1782;0;0;0;0;2;0;0;0;0;0;4;2;0;3;4;0;3;474;0;7;2;0;2;0;0;0;0;6;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;56;5;2;0;4;2;0;6092;9;0;1;0;1;0;0;13;49;3;0;1;0;0;0;0;6;359;0;0;0;0;0;0;1;14;0;1;1;0;34;0;0;0;0;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;795;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14;0;0;7;1;1;11;1;0;0;34;3;0;0;0;0;0;0;1308;11;36;1;0;1;5;20;0;122;13;4;6;0;0;0;0;34;620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dynet;ar;pos;TRUE;5123;32;1;None;19059;4272;77,6%;734;487;33,7%;20947,60434;91,20300979;1;1720;23;0;0;3;4;0;295;6;0;7;0;9;0;0;66;10;9;2844;0;0;5;5;0;7;7;0;4;0;0;0;0;9;2;21;7;0;0;6;0;0;8;0;1;0;0;4;0;0;34;1;7;0;0;0;11;4;0;2;0;0;0;0;1;0;0;55;0;37;35;0;0;1514;17;0;6;8;7;41;0;20;0;0;107;5;64;13;0;0;87;111;0;138;3;10;8;0;0;0;0;67;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;587;25;0;0;8;6;0;5421;7;0;1;0;7;0;0;128;44;79;10;0;0;2;0;0;145;120;0;0;0;1;0;0;8;19;18;3;0;0;138;46;0;2;0;38;1;0;1;0;0;46;1;150;18;0;0;78;20;0;40;3;16;303;0;14;0;0;146;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;6;20;1;0;0;43;0;0;0;1;0;2;0;1520;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;123;16;0;0;55;33;0;99;5;7;18;0;5;0;0;1003;13;221;7;0;0;19;3;0;350;16;2;3;0;12;0;0;36;193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dynet;ar;pos;TRUE;5123;32;5;None;19059;1424;92,5%;734;294;59,9%;110421,9232;97,84690095;5;1842;1;0;0;0;0;0;264;8;0;0;0;0;0;0;7;21;1;2881;0;0;0;0;0;6;1;0;2;0;0;0;0;0;1;14;6;34;0;3;1;0;7;3;0;0;0;0;0;0;10;4;0;0;0;4;0;0;0;0;1;1;0;0;0;0;0;74;0;6;8;0;0;1756;3;0;9;1;3;1;0;0;0;0;5;5;0;10;1;0;7;441;0;20;9;1;2;0;0;0;0;8;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;77;4;0;0;0;0;0;6082;23;0;1;0;2;0;0;6;39;16;0;0;0;0;0;0;12;347;0;0;0;0;0;0;0;9;0;2;3;0;42;3;0;2;0;234;0;0;0;0;0;4;4;0;0;0;0;0;0;0;1;0;1;785;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;11;0;0;0;1;0;0;0;0;9;1;1;2;0;0;0;63;14;2;1;0;0;0;0;1267;17;35;8;2;0;8;20;0;352;34;5;4;0;1;0;0;28;365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dynet;ar;pos;TRUE;5123;32;50;3;19059;815;95,7%;734;215;70,7%;529474,3031;99,29530478;23;1985;0;0;0;1;0;0;127;2;0;0;0;0;0;0;8;20;0;2882;0;0;0;0;0;8;0;0;1;0;0;0;0;0;1;1;3;72;0;2;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;42;0;3;5;1;0;1781;0;0;0;0;1;0;0;0;0;0;4;2;1;3;4;0;9;470;0;7;3;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;59;3;0;0;4;2;0;6100;12;0;1;0;1;0;0;9;43;2;0;0;0;0;0;0;9;360;0;0;0;0;0;0;2;11;0;2;0;0;40;1;0;0;0;251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;795;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14;0;0;7;1;1;8;1;0;0;41;3;0;0;0;0;0;0;1305;10;31;1;0;1;6;22;0;147;15;5;6;0;0;0;0;35;593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dynet;ar;pos;TRUE;322233;1;1;None;19059;1167;93,9%;734;300;59,1%;451,3935798;18,00758935;1;1959;0;0;0;0;0;0;137;11;0;0;0;0;0;0;4;32;1;2881;0;0;1;0;0;6;0;0;2;0;0;0;0;0;1;5;5;58;0;2;1;0;1;1;0;0;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;78;0;7;13;2;0;1759;2;0;2;1;4;1;0;0;0;0;2;4;1;9;6;0;2;448;0;8;14;0;2;0;0;0;0;6;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;109;5;0;0;1;1;0;5988;23;0;1;0;1;0;0;24;81;10;0;0;0;0;2;0;4;355;0;0;0;0;0;0;1;12;0;2;4;0;37;3;0;2;0;242;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;792;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;12;0;0;15;1;0;0;0;0;0;36;13;0;0;0;0;0;0;1288;24;39;6;0;0;8;21;0;190;43;9;4;0;1;0;0;30;511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
